Simulations,Mode,Threads,Time(ms)
100000,Sequential,1,14797.47724533081
100000,Parallel,2,4317.752122879028
100000,Parallel,4,2526.974678039551
100000,Parallel,6,1868.3130741119385
100000,Parallel,8,1593.0213928222656
100000,Parallel,12,1362.1509075164795
100000,Parallel-Stealing,2,4239.683151245117
100000,Parallel-Stealing,4,2412.1055603027344
100000,Parallel-Stealing,6,1911.6368293762207
100000,Parallel-Stealing,8,1626.2497901916504
100000,Parallel-Stealing,12,1383.6290836334229
1000000,Sequential,1,84475.11386871338
1000000,Parallel,2,33375.770568847656
1000000,Parallel,4,17091.557264328003
1000000,Parallel,6,11740.689754486084
1000000,Parallel,8,9700.703859329224
1000000,Parallel,12,6670.5193519592285
1000000,Parallel-Stealing,2,33345.46160697937
1000000,Parallel-Stealing,4,17137.827396392822
1000000,Parallel-Stealing,6,12462.799072265625
1000000,Parallel-Stealing,8,9340.199708938599
1000000,Parallel-Stealing,12,6594.951391220093
10000000,Sequential,1,848123.6312389374
10000000,Parallel,2,325430.6309223175
10000000,Parallel,4,166785.62211990356
10000000,Parallel,6,113067.55471229553
10000000,Parallel,8,86013.10563087463
10000000,Parallel,12,60719.563245773315
10000000,Parallel-Stealing,2,325058.0430030823
10000000,Parallel-Stealing,4,166709.18560028076
10000000,Parallel-Stealing,6,114165.43555259705
10000000,Parallel-Stealing,8,110348.60110282898
10000000,Parallel-Stealing,12,66345.66473960876
